Amplitude, Central_freq, Width, Splitting, Inclination_angle, Background
1.167965072,2844.453958,0.861296051,0.689536897,61.43488672,0.27872108
0.078344354,0.217379427,0.224256679,0.223316306,19.81698494,0.010047767
0.07307695,0.158491513,0.233035239,0.417842429,27.39001679,0.009994486
1.47663141,2993.079843,1.30713346,0.45407144,59.85378477,0.252095257
0.078516341,0.17200318,0.256349258,0.418074842,20.75662957,0.011588325
0.077461659,0.217433543,0.22546352,0.313024816,27.26155154,0.011502194
1.807144306,3141.768463,0.991558562,0.864127582,58.11364086,0.274511313
0.089574631,0.220037475,0.181469344,0.208570625,21.93068533,0.011970959
0.081247329,0.120546707,0.202622052,0.439081799,27.39007344,0.011576222
1.92165254,3291.091965,1.155136093,0.674906231,60.47968084,0.24427968
0.078795811,0.225176942,0.170758149,0.367600134,20.47109899,0.011472004
0.074352656,0.206604278,0.16850761,0.431612202,27.47824857,0.011272898
2.404962128,3440.51694,1.329051472,0.532106699,60.18172598,0.227850736
0.087949182,0.183903663,0.156379024,0.43108011,20.77594339,0.012750175
0.082786863,0.221829023,0.145741777,0.362059664,27.49252342,0.012439651
2.369259354,3589.768092,1.364375242,1.349732867,60.8440599,0.214125111
0.090865964,0.216823482,0.220582891,0.19048241,20.28612654,0.012792753
0.084073191,0.123455109,0.2327608,0.442714097,27.57811455,0.012611678
2.23614473,3739.261005,1.924813964,1.02738547,59.39598845,0.211261536
0.082283616,0.325686323,0.257636055,0.575095788,21.15581608,0.014273956
0.081957703,0.274699767,0.240146787,0.663827593,27.23288168,0.014502295
2.016341168,3888.701325,2.533654144,1.537901159,58.06210146,0.232999271
0.094355192,0.468052085,0.393463414,0.70473447,22.1145487,0.01585213
0.088562086,0.334885898,0.354253791,0.966916487,26.57889613,0.016664033
1.727081473,4039.103469,3.811636154,1.696317276,60.32567331,0.223549826
0.132162148,0.560518117,0.711195672,0.922371293,20.38206135,0.021191633
0.137302515,0.457986815,0.81524653,1.131734101,27.12064378,0.020916378
